date,region,product,category,sales_rep,units_sold,unit_price,revenue,cost,profit
2024-01-05,North,Laptop Pro,Electronics,Alice,12,1200,14400,9600,4800
2024-01-08,South,Wireless Mouse,Accessories,Bob,45,25,1125,450,675
2024-01-10,East,Laptop Pro,Electronics,Carol,8,1200,9600,6400,3200
2024-01-12,West,USB Hub,Accessories,Dave,30,35,1050,420,630
2024-01-15,North,Monitor 27",Electronics,Alice,6,450,2700,1800,900
2024-01-18,South,Laptop Pro,Electronics,Eve,10,1200,12000,8000,4000
2024-01-20,East,Keyboard Mech,Accessories,Frank,25,95,2375,950,1425
2024-01-22,West,Laptop Pro,Electronics,Bob,15,1200,18000,12000,6000
2024-01-25,North,Webcam HD,Accessories,Carol,20,75,1500,600,900
2024-01-28,South,Monitor 27",Electronics,Dave,4,450,1800,1200,600
2024-02-02,East,Laptop Pro,Electronics,Alice,11,1200,13200,8800,4400
2024-02-05,West,Wireless Mouse,Accessories,Eve,60,25,1500,600,900
2024-02-08,North,USB Hub,Accessories,Frank,40,35,1400,560,840
2024-02-10,South,Laptop Pro,Electronics,Bob,9,1200,10800,7200,3600
2024-02-12,East,Monitor 27",Electronics,Carol,7,450,3150,2100,1050
2024-02-15,West,Keyboard Mech,Accessories,Dave,18,95,1710,684,1026
2024-02-18,North,Laptop Pro,Electronics,Eve,14,1200,16800,11200,5600
2024-02-20,South,Webcam HD,Accessories,Alice,35,75,2625,1050,1575
2024-02-22,East,USB Hub,Accessories,Frank,50,35,1750,700,1050
2024-02-25,West,Laptop Pro,Electronics,Bob,12,1200,14400,9600,4800
2024-03-01,North,Monitor 27",Electronics,Carol,5,450,2250,1500,750
2024-03-04,South,Wireless Mouse,Accessories,Dave,55,25,1375,550,825
2024-03-07,East,Laptop Pro,Electronics,Eve,16,1200,19200,12800,6400
2024-03-10,West,Keyboard Mech,Accessories,Alice,22,95,2090,836,1254
2024-03-13,North,Webcam HD,Accessories,Frank,28,75,2100,840,1260
2024-03-15,South,Laptop Pro,Electronics,Bob,10,1200,12000,8000,4000
2024-03-18,East,USB Hub,Accessories,Carol,45,35,1575,630,945
2024-03-20,West,Monitor 27",Electronics,Dave,8,450,3600,2400,1200
2024-03-22,North,Laptop Pro,Electronics,Eve,13,1200,15600,10400,5200
2024-03-25,South,Wireless Mouse,Accessories,Alice,70,25,1750,700,1050
2024-04-01,East,Laptop Pro,Electronics,Frank,9,1200,10800,7200,3600
2024-04-04,West,Webcam HD,Accessories,Bob,32,75,2400,960,1440
2024-04-07,North,Keyboard Mech,Accessories,Carol,15,95,1425,570,855
2024-04-10,South,Laptop Pro,Electronics,Dave,11,1200,13200,8800,4400
2024-04-13,East,Monitor 27",Electronics,Eve,6,450,2700,1800,900
2024-04-15,West,USB Hub,Accessories,Alice,38,35,1330,532,798
2024-04-18,North,Laptop Pro,Electronics,Frank,17,1200,20400,13600,6800
2024-04-20,South,Wireless Mouse,Accessories,Bob,65,25,1625,650,975
2024-04-22,East,Webcam HD,Accessories,Carol,24,75,1800,720,1080
2024-04-25,West,Laptop Pro,Electronics,Dave,8,1200,9600,6400,3200
